01/1990,02/1990,03/1990,04/1990,05/1990,06/1990,07/1990,08/1990,09/1990,10/1990,11/1990,12/1990,01/1991,02/1991,03/1991,04/1991,05/1991,06/1991,07/1991,08/1991,09/1991,10/1991,11/1991,12/1991,01/1992,02/1992,03/1992,04/1992,05/1992,06/1992,07/1992,08/1992,09/1992,10/1992,11/1992,12/1992,01/1993,02/1993,03/1993,04/1993,05/1993,06/1993,07/1993,08/1993,09/1993,10/1993,11/1993,12/1993,01/1994,02/1994,03/1994,04/1994,05/1994,06/1994,07/1994,08/1994,09/1994,10/1994,11/1994,12/1994,01/1995,02/1995,03/1995,04/1995,05/1995,06/1995,07/1995,08/1995,09/1995,10/1995,11/1995,12/1995,01/1996,02/1996,03/1996,04/1996,05/1996,06/1996,07/1996,08/1996,09/1996,10/1996,11/1996,12/1996,01/1997,02/1997,03/1997,04/1997,05/1997,06/1997,07/1997,08/1997,09/1997,10/1997,11/1997,12/1997,01/1998,02/1998,03/1998,04/1998,05/1998,06/1998,07/1998,08/1998,09/1998,10/1998,11/1998,12/1998,01/1999,02/1999,03/1999,04/1999,05/1999,06/1999,07/1999,08/1999,09/1999,10/1999,11/1999,12/1999,01/2000,02/2000,03/2000,04/2000,05/2000,06/2000,07/2000,08/2000,09/2000,10/2000,11/2000,12/2000,01/2001,02/2001,03/2001,04/2001,05/2001,06/2001,07/2001,08/2001,09/2001,10/2001,11/2001,12/2001,01/2002,02/2002,03/2002,04/2002,05/2002,06/2002,07/2002,08/2002,09/2002,10/2002,11/2002,12/2002,01/2003,02/2003,03/2003,04/2003,05/2003,06/2003,07/2003,08/2003,09/2003,10/2003,11/2003,12/2003,01/2004,02/2004,03/2004,04/2004,05/2004,06/2004,07/2004,08/2004,09/2004,10/2004,11/2004,12/2004,01/2005,02/2005,03/2005,04/2005,05/2005,06/2005,07/2005,08/2005,09/2005,10/2005,11/2005,12/2005,01/2006,02/2006,03/2006,04/2006,05/2006,06/2006,07/2006,08/2006,09/2006,10/2006,11/2006,12/2006,01/2007,02/2007,03/2007,04/2007,05/2007,06/2007,07/2007,08/2007,09/2007,10/2007,11/2007,12/2007,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018
S420,S420,S420,S796,S56,S171,S791,S533,S914,S1015,S941,S659,S1134,S1134,S136,S63,S984,S881,S1211,S1243,S1243,S848,S848,S709,S420,S914,S566,S881,S881,S903,S89,S785,S848,S914,S914,S984,S903,S903,S732,S848,S709,S796,S63,S240,S984,S1243,S335,S184,S1117,S15,S74,S845,S634,S420,S200,S200,S200,S644,S559,S1267,S922,S533,S914,S984,S1034,S1034,S263,S551,S1324,S984,S1034,S566,S487,S487,S941,S1306,S958,S1277,S533,S63,S1034,S941,S769,S439,S968,S968,S730,S240,S240,S240,S588,S520,S183,S922,S533,S240,S1028,S200,S200,S155,S1284,S321,S922,S63,S1034,S941,S769,S184,S1321,S752,S928,S533,S914,S1015,S296,S1174,S297,S60,S903,S1015,S1384,S769,S769,S173,S473,S459,S487,S941,S941,S83,S520,S141,S200,S200,S200,S941,S487,S941,S1050,S108,S387,S851,S791,S791,S922,S634,S941,S941,S941,S910,S387,S990,S990,S914,S566,S566,S870,S582,S605,S835,S835,S835,S1363,S1363,S475,S1342,S108,S432,S851,S851,S851,S420,S420,S63,S1342,S1342,S387,S881,S881,S732,S851,S851,S851,S566,S60,S487,S432,S990,S791,S941,S1359,S659,S791,S791,S845,S1034,S1034,S200,S200,S200,S200,S461,S461,S450,S922,S922,S922,S963,S655,S250,S387,S990,S791,S420,S732,S853,S851,S791,S791,S63,S1034,S60,S791,S835,S835,S769,S335,S1312,S922,S922,S420,S732,S732,S1359,S990,S835,S922,S487,S487,S1359,S835,S922,S566,S60,S60,S791,S835,S922,S769,S769,S1368,S1284,S851,S845,S1119,S63,S63,S566,S922,S634,S634,S487,S335,S169,S1119,S634,S63,S566,S732,S1211,S634,S1216,S1034,S670,S670,S1359,S566,S566,S881,S670,S670,S769,S1034,S1034,S566,S335,S966,S1155,S420,S420,S1034,S941,S769,S966,S1034,S1034,S1034,S726,S1368,S1312,S914,S1034,S1034,S1384,S1384,S966,S63,S1034,S1034,S1323,S1054,S1312,S634,S914,S1359,S1323,S1323,S404,S732,S732,S487,S1284,S1279,S321,S670,S670,S670,S1284,S1284,S461,S487,S941,S941,S571,S571,S571,S307,S307,S1073,S881,S881,S881,S1384,S1384,S1384,S1216,S914,S471
S533,S533,S533,S709,S165,S735,S851,S634,S240,S1211,S1015,S335,S591,S591,S1134,S420,S914,S200,S732,S1211,S1211,S12,S12,S1093,S533,S240,S1034,S200,S200,S881,S708,S852,S12,S240,S240,S914,S881,S881,S903,S12,S1093,S709,S420,S63,S914,S1015,S769,S659,S1106,S1017,S1009,S791,S922,S533,S566,S566,S566,S173,S644,S210,S845,S634,S240,S914,S984,S984,S1171,S860,S943,S914,S984,S1034,S1243,S1243,S487,S183,S1188,S793,S634,S420,S984,S487,S941,S769,S1340,S1340,S968,S63,S63,S63,S425,S588,S296,S598,S634,S63,S566,S1028,S1028,S659,S1312,S853,S598,S420,S984,S487,S1359,S659,S870,S605,S1130,S634,S1216,S1211,S542,S1306,S307,S200,S881,S1211,S1359,S1384,S1384,S130,S173,S1267,S1211,S487,S487,S588,S625,S250,S566,S566,S566,S487,S732,S487,S367,S1342,S432,S387,S851,S851,S845,S922,S487,S487,S487,S468,S432,S387,S387,S1216,S1034,S1034,S795,S1321,S582,S791,S791,S791,S450,S450,S473,S1217,S1342,S108,S990,S990,S990,S634,S634,S420,S1217,S1217,S432,S60,S60,S881,S990,S990,S990,S1034,S200,S1211,S108,S387,S851,S487,S941,S726,S851,S851,S835,S914,S914,S566,S566,S566,S566,S1279,S1279,S997,S845,S845,S845,S1100,S963,S520,S432,S387,S851,S634,S881,S1279,S990,S851,S851,S420,S914,S200,S851,S791,S791,S1384,S769,S155,S845,S845,S634,S881,S881,S941,S387,S791,S845,S670,S670,S941,S791,S845,S1034,S566,S566,S851,S791,S845,S1384,S1384,S659,S1312,S990,S835,S922,S420,S420,S1034,S845,S1119,S1119,S670,S1213,S461,S922,S1119,S420,S1034,S881,S732,S1119,S63,S914,S1211,S1211,S941,S1034,S1034,S566,S1211,S1211,S1384,S914,S914,S1034,S1323,S335,S726,S634,S634,S914,S487,S1384,S335,S914,S914,S914,S966,S659,S155,S1216,S914,S914,S1359,S1359,S335,S420,S914,S914,S769,S726,S155,S922,S1216,S941,S769,S769,S1323,S881,S881,S670,S1312,S1284,S169,S732,S732,S732,S1312,S1312,S1279,S670,S487,S487,S1054,S1054,S1054,S521,S521,S176,S1120,S1120,S1120,S941,S941,S941,S63,S1216,S1198
S634,S634,S634,S1093,S1292,S300,S734,S922,S63,S732,S1211,S439,S1354,S1354,S591,S533,S240,S566,S903,S732,S732,S661,S661,S848,S922,S63,S984,S566,S566,S200,S834,S89,S661,S63,S63,S240,S200,S200,S881,S661,S848,S1093,S533,S420,S240,S1211,S941,S335,S37,S1117,S15,S851,S845,S634,S1034,S1034,S1034,S130,S173,S559,S791,S987,S63,S240,S914,S914,S1175,S948,S1146,S63,S914,S984,S1015,S1015,S1243,S296,S1174,S958,S987,S533,S914,S1243,S487,S941,S204,S204,S1340,S420,S420,S420,S655,S425,S542,S845,S987,S420,S1034,S566,S566,S335,S155,S1279,S845,S533,S914,S1015,S941,S335,S1036,S582,S1066,S987,S240,S732,S1041,S183,S1221,S1028,S60,S732,S941,S1359,S1359,S567,S130,S210,S732,S1211,S1211,S425,S83,S520,S1034,S1034,S1034,S732,S881,S732,S702,S1217,S108,S432,S387,S990,S835,S845,S732,S732,S732,S22,S108,S432,S432,S63,S914,S914,S427,S870,S1321,S851,S851,S851,S997,S997,S173,S676,S1217,S1342,S387,S387,S387,S922,S922,S634,S676,S676,S108,S200,S200,S60,S387,S387,S387,S914,S566,S732,S1342,S432,S990,S1211,S487,S966,S990,S990,S791,S1216,S1216,S1034,S1034,S1034,S1034,S1284,S1284,S139,S835,S835,S835,S459,S1100,S425,S108,S432,S990,S922,S60,S1284,S387,S990,S990,S634,S1216,S566,S990,S851,S851,S1359,S1384,S659,S835,S835,S922,S60,S60,S487,S432,S851,S835,S1211,S1211,S487,S851,S835,S914,S1034,S1034,S990,S851,S835,S1359,S1359,S726,S1368,S387,S851,S845,S634,S634,S914,S835,S922,S922,S1211,S769,S1279,S845,S922,S634,S914,S60,S881,S922,S420,S1216,S732,S732,S487,S914,S914,S1034,S732,S732,S1359,S1216,S1216,S914,S1213,S1323,S966,S922,S922,S1216,S670,S1359,S1323,S1216,S1216,S1216,S335,S1155,S1368,S63,S1216,S1216,S941,S941,S1323,S634,S1216,S1216,S1384,S966,S1368,S845,S63,S487,S1384,S1384,S769,S1120,S1120,S732,S841,S1312,S461,S881,S881,S881,S841,S841,S1284,S732,S670,S670,S726,S726,S726,S1277,S1277,S307,S566,S566,S566,S483,S483,S483,S420,S63,S99
S922,S922,S922,S848,S224,S56,S990,S845,S420,S903,S732,S769,S456,S456,S1354,S634,S63,S1034,S881,S903,S903,S785,S785,S12,S845,S420,S914,S1034,S1034,S566,S415,S708,S785,S420,S420,S63,S566,S566,S200,S785,S12,S848,S634,S533,S63,S732,S1243,S769,S1090,S1106,S1017,S734,S791,S922,S984,S984,S984,S869,S130,S644,S851,S922,S420,S63,S240,S240,S1212,S263,S925,S533,S240,S914,S1211,S1211,S1015,S542,S1306,S1188,S922,S634,S240,S1015,S1243,S487,S411,S411,S204,S533,S533,S533,S1100,S655,S1041,S835,S922,S533,S984,S1034,S1034,S439,S659,S1185,S835,S634,S240,S1211,S487,S439,S873,S1321,S564,S922,S63,S903,S550,S296,S1277,S566,S200,S903,S487,S941,S941,S128,S567,S559,S881,S732,S732,S655,S588,S625,S914,S914,S914,S881,S60,S881,S35,S676,S1342,S108,S432,S387,S791,S835,S881,S881,S881,S1370,S1342,S108,S108,S420,S1216,S1216,S873,S795,S870,S990,S990,S990,S139,S139,S1363,S685,S676,S1217,S432,S432,S432,S845,S845,S922,S685,S685,S1342,S566,S566,S200,S432,S432,S432,S63,S1034,S881,S1217,S108,S387,S732,S1211,S335,S387,S387,S851,S63,S63,S914,S914,S914,S914,S1312,S1312,S382,S791,S791,S791,S1267,S459,S655,S1342,S108,S387,S845,S200,S1312,S432,S387,S387,S922,S63,S1034,S387,S990,S990,S941,S1359,S726,S791,S791,S845,S200,S200,S670,S108,S990,S791,S732,S732,S670,S990,S791,S1216,S914,S914,S387,S990,S791,S941,S941,S966,S659,S432,S990,S835,S1119,S1119,S1216,S791,S845,S845,S732,S1384,S1284,S835,S845,S1119,S1216,S200,S60,S845,S634,S63,S881,S881,S670,S1216,S1216,S914,S881,S881,S941,S63,S63,S1216,S769,S1213,S335,S845,S845,S63,S1211,S941,S769,S63,S63,S63,S1323,S726,S659,S420,S63,S63,S487,S487,S1384,S922,S63,S63,S1359,S335,S659,S835,S420,S670,S1359,S1359,S1384,S566,S566,S881,S155,S841,S1279,S1120,S1120,S1120,S1368,S1368,S1312,S881,S732,S732,S966,S966,S966,S793,S793,S521,S914,S914,S914,S487,S487,S487,S634,S420,S842
S845,S845,S845,S12,S1248,S165,S108,S835,S533,S881,S903,S941,S77,S77,S456,S922,S420,S984,S200,S881,S881,S852,S852,S661,S835,S533,S240,S984,S984,S1034,S185,S834,S852,S533,S533,S420,S1034,S1034,S566,S852,S661,S12,S922,S634,S420,S903,S1015,S941,S1257,S37,S1117,S990,S851,S845,S914,S914,S914,S1363,S869,S173,S734,S845,S533,S420,S63,S63,S1234,S1171,S34,S634,S63,S240,S732,S732,S1211,S1041,S183,S1174,S598,S987,S63,S1211,S1015,S1243,S1294,S1294,S411,S634,S634,S634,S459,S1100,S550,S791,S598,S634,S914,S984,S984,S769,S335,S1284,S851,S987,S63,S732,S1015,S769,S285,S870,S1010,S598,S420,S881,S629,S542,S793,S1034,S1028,S881,S1015,S487,S487,S869,S128,S953,S60,S881,S881,S557,S425,S83,S1216,S1216,S1216,S60,S200,S60,S47,S196,S1217,S1342,S108,S432,S851,S791,S60,S60,S60,S1092,S1217,S1342,S1342,S634,S63,S63,S285,S427,S795,S387,S387,S387,S382,S382,S450,S196,S685,S676,S108,S108,S108,S835,S835,S845,S196,S196,S1217,S1034,S1034,S566,S108,S108,S108,S420,S914,S60,S676,S1342,S432,S881,S732,S769,S432,S432,S990,S420,S420,S1216,S1216,S1216,S1216,S155,S155,S772,S851,S851,S851,S210,S1267,S963,S1217,S1342,S432,S835,S566,S155,S108,S432,S432,S845,S420,S914,S432,S387,S387,S487,S941,S966,S851,S851,S835,S566,S566,S1211,S1342,S387,S851,S881,S881,S1211,S387,S851,S63,S1216,S1216,S432,S387,S851,S487,S487,S335,S726,S108,S387,S791,S922,S922,S63,S851,S835,S835,S881,S1359,S1312,S791,S835,S922,S63,S566,S200,S835,S1119,S420,S60,S60,S1211,S63,S63,S1216,S566,S566,S487,S420,S420,S63,S1384,S769,S1323,S835,S835,S420,S732,S487,S1384,S420,S420,S420,S769,S966,S1155,S634,S420,S420,S670,S670,S1359,S845,S420,S420,S941,S1323,S1155,S791,S634,S732,S941,S941,S941,S914,S914,S1120,S1368,S155,S1284,S566,S566,S566,S704,S704,S841,S1120,S881,S881,S404,S404,S404,S904,S904,S1277,S1216,S1216,S1216,S670,S670,S670,S922,S634,S1031
S835,S835,S835,S785,S113,S1292,S1217,S791,S634,S200,S881,S1015,S1167,S1167,S77,S845,S533,S914,S566,S200,S200,S89,S89,S785,S791,S634,S63,S914,S914,S984,S805,S415,S89,S634,S634,S533,S984,S984,S1034,S89,S785,S661,S845,S922,S533,S881,S1211,S1243,S1052,S1090,S1106,S108,S734,S791,S240,S240,S240,S450,S1363,S130,S990,S791,S634,S533,S420,S420,S512,S1175,S551,S922,S533,S63,S903,S903,S732,S550,S296,S1306,S845,S922,S420,S732,S1211,S1015,S379,S379,S1294,S987,S987,S987,S1267,S459,S629,S851,S845,S987,S240,S914,S914,S941,S439,S1312,S734,S922,S420,S903,S1211,S1359,S1044,S1036,S46,S845,S533,S60,S94,S1041,S1188,S984,S566,S60,S1211,S1015,S1015,S1363,S869,S1189,S200,S60,S60,S963,S655,S588,S63,S63,S63,S200,S566,S200,S110,S537,S676,S1217,S1342,S108,S990,S851,S200,S200,S200,S377,S676,S1217,S1217,S922,S420,S420,S1044,S873,S427,S432,S432,S432,S772,S772,S997,S537,S196,S685,S1342,S1342,S1342,S791,S791,S835,S537,S537,S676,S914,S914,S1034,S1342,S1342,S1342,S634,S63,S200,S685,S1217,S108,S60,S881,S1384,S108,S108,S387,S634,S634,S63,S63,S63,S63,S659,S659,S1240,S990,S990,S990,S559,S210,S1100,S676,S1217,S108,S791,S1034,S659,S1342,S108,S108,S835,S634,S1216,S108,S432,S432,S670,S487,S335,S990,S990,S791,S1034,S1034,S732,S1217,S432,S990,S566,S566,S732,S432,S990,S420,S63,S63,S108,S432,S990,S670,S670,S1213,S966,S1342,S432,S851,S845,S845,S420,S990,S791,S791,S566,S941,S1368,S851,S791,S845,S420,S1034,S566,S791,S922,S634,S200,S200,S732,S420,S420,S63,S1034,S1034,S670,S634,S634,S420,S1359,S1384,S1213,S791,S791,S634,S881,S670,S1359,S634,S634,S634,S1384,S335,S726,S922,S634,S634,S1211,S1211,S941,S835,S634,S634,S487,S769,S1054,S851,S922,S881,S487,S487,S487,S1216,S1216,S566,S659,S1368,S1312,S914,S914,S914,S659,S659,S1368,S566,S1120,S1120,S769,S769,S769,S958,S958,S793,S63,S63,S63,S732,S732,S732,S835,S922,S876
S791,S791,S791,S852,S796,S224,S537,S851,S922,S566,S200,S1211,S408,S408,S1167,S835,S634,S240,S1034,S566,S566,S708,S708,S852,S851,S922,S420,S240,S240,S914,S182,S185,S708,S922,S922,S634,S914,S914,S984,S708,S852,S785,S791,S845,S634,S200,S732,S1015,S1208,S1257,S37,S1217,S990,S851,S63,S63,S63,S139,S450,S869,S108,S851,S987,S634,S533,S533,S855,S1212,S860,S598,S634,S420,S881,S881,S903,S629,S542,S183,S835,S598,S533,S903,S732,S1211,S1069,S1069,S379,S922,S922,S922,S210,S1267,S94,S734,S835,S922,S63,S240,S240,S487,S769,S155,S990,S598,S533,S881,S732,S941,S529,S873,S601,S835,S634,S200,S250,S550,S1174,S914,S1034,S200,S732,S1211,S1211,S450,S1363,S475,S566,S200,S200,S459,S557,S425,S420,S420,S420,S566,S1034,S566,S30,S871,S196,S676,S1217,S1342,S387,S990,S566,S566,S566,S251,S685,S676,S676,S845,S634,S634,S1064,S285,S873,S108,S108,S108,S1240,S1240,S139,S871,S537,S196,S1217,S1217,S1217,S851,S851,S791,S871,S871,S685,S1216,S1216,S914,S1217,S1217,S1217,S922,S420,S566,S196,S676,S1342,S200,S60,S1359,S1342,S1342,S432,S922,S922,S420,S420,S420,S420,S966,S966,S321,S387,S387,S387,S953,S559,S459,S685,S676,S1342,S851,S914,S726,S1217,S1342,S1342,S791,S922,S63,S1342,S108,S108,S1211,S670,S769,S387,S387,S851,S914,S914,S881,S676,S108,S387,S1034,S1034,S881,S108,S387,S634,S420,S420,S1342,S108,S387,S1211,S1211,S769,S335,S1217,S108,S990,S835,S835,S634,S387,S851,S851,S1034,S487,S659,S990,S851,S835,S634,S914,S1034,S851,S845,S1119,S566,S566,S881,S634,S634,S420,S914,S914,S1211,S922,S922,S634,S941,S1359,S769,S851,S851,S922,S566,S1211,S941,S922,S922,S922,S1359,S1323,S966,S845,S922,S922,S732,S732,S487,S791,S922,S922,S670,S1384,S726,S990,S845,S1120,S670,S670,S670,S63,S63,S914,S1155,S659,S841,S1216,S1216,S1216,S1155,S1155,S704,S914,S566,S566,S1384,S1384,S1384,S471,S471,S904,S420,S420,S420,S881,S881,S881,S791,S835,S272
S851,S851,S851,S89,S709,S1248,S1050,S734,S845,S1034,S566,S732,S1156,S1156,S408,S791,S922,S63,S984,S1034,S1034,S834,S834,S89,S734,S845,S533,S63,S63,S240,S980,S805,S834,S845,S845,S922,S240,S240,S914,S834,S89,S852,S851,S791,S922,S566,S903,S1211,S1168,S1052,S1090,S1307,S108,S734,S420,S420,S420,S772,S139,S1363,S1217,S734,S922,S987,S634,S634,S1332,S1234,S948,S845,S922,S533,S200,S200,S881,S250,S1041,S296,S791,S845,S634,S881,S903,S732,S207,S207,S1069,S598,S598,S598,S559,S210,S250,S990,S791,S598,S420,S63,S63,S1015,S941,S659,S432,S845,S634,S60,S903,S487,S1283,S285,S752,S791,S987,S1028,S520,S629,S1306,S1216,S984,S1028,S903,S732,S732,S997,S450,S473,S1034,S566,S566,S1267,S963,S655,S634,S634,S634,S1034,S914,S1034,S729,S1050,S537,S196,S676,S1217,S432,S387,S1034,S1034,S1034,S343,S196,S685,S685,S835,S922,S922,S689,S1044,S285,S1342,S1342,S1342,S321,S321,S382,S367,S871,S537,S676,S676,S676,S990,S990,S851,S367,S367,S196,S63,S63,S1216,S676,S676,S676,S845,S634,S1034,S537,S685,S1217,S566,S200,S941,S1217,S1217,S108,S845,S845,S634,S634,S634,S634,S335,S335,S461,S432,S432,S432,S1189,S953,S1267,S196,S685,S1217,S990,S1216,S966,S676,S1217,S1217,S851,S845,S420,S1217,S1342,S1342,S732,S1211,S1384,S432,S432,S990,S1216,S1216,S60,S1149,S1342,S432,S914,S914,S566,S1342,S432,S1119,S634,S634,S1217,S1342,S432,S732,S732,S1359,S1213,S676,S1342,S387,S791,S791,S1119,S432,S990,S990,S914,S670,S726,S387,S990,S791,S1119,S1216,S914,S990,S835,S922,S1034,S1034,S60,S922,S922,S634,S1216,S1216,S732,S845,S845,S922,S487,S941,S1384,S990,S990,S845,S1034,S732,S487,S845,S845,S845,S941,S769,S335,S835,S845,S845,S881,S881,S670,S851,S845,S845,S1211,S1359,S966,S432,S835,S566,S732,S732,S732,S420,S420,S1216,S1054,S1155,S155,S63,S63,S63,S1054,S1054,S659,S1216,S914,S914,S941,S941,S941,S273,S273,S958,S634,S634,S634,S1120,S1120,S1120,S851,S791,S600
S734,S734,S734,S708,S1093,S113,S367,S990,S835,S984,S1034,S903,S912,S912,S1156,S851,S845,S420,S914,S984,S984,S415,S415,S708,S990,S835,S634,S420,S420,S63,S786,S182,S415,S791,S791,S845,S63,S63,S240,S415,S708,S89,S734,S851,S845,S1034,S881,S732,S889,S1208,S1257,S537,S1217,S990,S533,S533,S533,S1240,S772,S450,S1307,S990,S845,S922,S987,S987,S931,S512,S263,S791,S598,S634,S1028,S1028,S200,S520,S550,S542,S851,S835,S987,S200,S881,S903,S817,S817,S207,S845,S845,S845,S475,S559,S520,S1097,S851,S845,S533,S420,S420,S732,S487,S335,S1097,S835,S987,S200,S881,S1015,S1064,S1044,S605,S851,S922,S566,S588,S94,S183,S240,S914,S566,S881,S903,S903,S139,S997,S173,S1216,S1034,S1034,S559,S459,S557,S922,S922,S922,S914,S1216,S914,S161,S367,S871,S537,S685,S676,S108,S432,S914,S914,S914,S261,S537,S196,S196,S851,S845,S845,S1142,S1064,S1044,S1217,S1217,S1217,S853,S853,S772,S702,S367,S871,S685,S685,S685,S432,S432,S990,S702,S702,S537,S634,S634,S63,S685,S685,S685,S835,S922,S914,S367,S196,S676,S1034,S566,S487,S676,S676,S1342,S835,S835,S922,S922,S922,S922,S769,S769,S1279,S108,S108,S108,S475,S1189,S210,S537,S196,S676,S387,S63,S335,S685,S676,S676,S990,S835,S634,S676,S1217,S1217,S881,S732,S1359,S108,S108,S387,S63,S63,S200,S685,S1217,S108,S1216,S1216,S1034,S1217,S108,S922,S1119,S1119,S676,S1217,S108,S881,S881,S941,S769,S1149,S1217,S432,S851,S851,S922,S108,S387,S387,S1216,S1211,S966,S432,S387,S851,S922,S63,S1216,S432,S791,S845,S914,S914,S566,S845,S845,S922,S63,S63,S881,S835,S835,S845,S670,S487,S1359,S432,S432,S835,S914,S881,S670,S835,S835,S835,S487,S1384,S1323,S791,S835,S835,S1120,S1120,S1211,S990,S835,S835,S732,S941,S335,S108,S791,S914,S881,S881,S881,S634,S634,S63,S726,S1054,S1368,S420,S420,S420,S726,S726,S1155,S63,S1216,S1216,S487,S487,S487,S371,S371,S471,S725,S725,S725,S566,S566,S566,S990,S851,S345
S990,S990,S990,S834,S848,S796,S702,S108,S791,S914,S984,S881,S859,S859,S912,S734,S835,S533,S240,S914,S914,S185,S185,S834,S108,S791,S922,S533,S533,S420,S55,S980,S185,S851,S851,S791,S420,S420,S63,S185,S834,S708,S990,S734,S791,S984,S200,S903,S784,S1168,S1052,S1050,S1307,S108,S634,S634,S634,S321,S1240,S139,S537,S108,S791,S845,S922,S922,S1070,S855,S961,S851,S845,S987,S566,S566,S1028,S588,S629,S1041,S734,S791,S922,S1028,S200,S881,S426,S426,S817,S835,S835,S835,S173,S953,S588,S108,S734,S835,S634,S533,S533,S903,S1015,S439,S108,S851,S922,S1028,S60,S1211,S681,S529,S582,S734,S598,S1034,S425,S250,S296,S63,S1216,S1034,S60,S881,S881,S382,S139,S130,S420,S1216,S1216,S953,S1267,S963,S845,S845,S845,S1216,S63,S1216,S143,S702,S1050,S871,S196,S685,S1342,S108,S1216,S1216,S1216,S209,S871,S537,S537,S990,S835,S835,S153,S689,S1064,S676,S676,S676,S461,S461,S1240,S35,S702,S367,S196,S196,S196,S108,S108,S432,S35,S35,S871,S922,S922,S634,S196,S196,S196,S791,S845,S63,S702,S537,S685,S914,S1034,S1211,S685,S685,S1217,S791,S791,S845,S845,S845,S845,S1384,S1384,S1284,S1342,S1342,S1342,S473,S475,S559,S871,S537,S685,S432,S420,S769,S196,S685,S685,S387,S791,S922,S196,S676,S676,S60,S881,S941,S1342,S1342,S432,S420,S420,S566,S196,S676,S1342,S63,S63,S914,S676,S1342,S845,S922,S922,S1149,S676,S1342,S566,S566,S487,S1359,S685,S676,S108,S990,S990,S845,S1342,S432,S432,S63,S732,S335,S108,S432,S990,S845,S420,S63,S108,S851,S835,S1216,S1216,S1034,S835,S835,S845,S420,S420,S566,S791,S791,S835,S1211,S670,S941,S108,S108,S791,S1216,S1034,S1211,S791,S791,S791,S670,S1359,S769,S851,S791,S791,S566,S566,S732,S432,S791,S791,S881,S487,S1323,S1342,S851,S1216,S1120,S1120,S1120,S922,S922,S420,S966,S726,S659,S634,S634,S634,S966,S966,S1054,S420,S63,S63,S670,S670,S670,S1254,S1254,S273,S922,S922,S922,S914,S914,S914,S108,S990,S709
